"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2022-09-04 14:52:16","2022-09-04","SLX21","SLX21","6号索塔","1705.738","1733.182","1640.746","1584.300","1574.191","1598.696","3448.004","76.004",".023","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX17","SLX17","6号索塔","1609.177","1478.771","1643.014","1597.287","1743.527","2920.357","6576.983","135.983",".021","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS01","SLS01","1号索塔","1421.029","1604.186","1725.577","1523.680","1584.608","1726.310","5886.544","141.544",".025","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1707.385","0.000","0.000","5908.343","151.343",".026","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS11","SLS11","2号索塔","1709.741","1735.642","1535.248","1446.564","1701.192","1578.125","3819.497","73.497",".02","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS06","SLS06","1号索塔","1723.023","1763.173","1539.245","1709.154","1767.019","1715.188","3062.928","105.928",".036","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS08","SLS08","1号索塔","1667.230","1548.119","1529.567","1680.539","1478.609","1627.758","5887.254","130.254",".023","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS15","SLS15","2号索塔","1925.603","1575.734","1712.549","1612.386","1335.929","1683.202","4244.728","70.728",".017","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX23","SLX23","6号索塔","1678.624","1669.831","1633.435","1549.853","1566.186","1585.443","4023.767","81.767",".021","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS19","SLS19","3号索塔","1575.474","1648.506","1606.485","1613.352","1605.172","1666.038","3376.522","49.522",".015","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX10","SLX10","5号索塔","1570.750","1642.543","1487.061","1547.406","1616.276","1553.149","4295.634","72.634",".017","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS02","SLS02","1号索塔","1739.532","1709.561","1713.200","1615.546","1733.153","1617.233","3611.357","84.357",".024","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX16","SLX16","5号索塔","1555.683","1509.173","1678.126","1664.976","1649.701","1648.693","6850.85","150.85",".023","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX09","SLX09","5号索塔","1603.154","1488.501","1650.262","1571.550","1700.756","1433.520","7080.567","150.567",".022","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS05","SLS05","1号索塔","1703.320","1736.163","1780.395","1696.043","1715.241","1736.312","2947.628","104.628",".037","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX04","SLX04","4号索塔","1643.236","1725.543","1624.966","1755.221","1815.618","1754.534","3145.373","96.373",".032","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX05","SLX05","4号索塔","1844.211","1668.160","1662.645","1782.559","1930.173","1598.045","2949.957","106.957",".038","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX18","SLX18","6号索塔","0.000","0.000","0.000","1500.867","1392.399","0.000","3822.999","59.999",".016","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX06","SLX06","4号索塔","1743.206","1623.259","1603.838","1744.073","1754.345","1743.496","3040.167","83.167",".028","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS16","SLS16","2号索塔","1671.497","1718.060","1750.032","1600.011","1643.868","1691.007","6825.615","125.615",".019","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX19","SLX19","6号索塔","1642.794","1670.291","1661.913","1586.828","1611.513","1736.017","3403.208","76.208",".023","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS22","SLS22","3号索塔","1537.278","1594.703","1608.159","1737.317","1622.395","1771.905","3491.476","85.476",".025","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX03","SLX03","4号索塔","1816.776","1694.569","1586.345","1726.976","1635.300","1783.452","3248.834","103.834",".033","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX24","SLX24","6号索塔","1642.379","1594.540","1643.739","1625.892","1646.910","1586.531","6404.886","150.886",".024","正常",""
"2022-09-04 14:52:16","2022-09-04","SLS07","SLS07","1号索塔","1546.030","1600.101","1678.496","1718.711","1636.298","1654.548","3663.52","97.52",".027","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX02","SLX02","4号索塔","1569.073","1609.455","1653.653","1764.401","1732.750","1655.470","3618.493","91.493",".026","正常",""
"2022-09-04 14:52:16","2022-09-04","SLX15","SLX15","5号索塔","1601.241","1521.619","1556.981","1507.106","1607.647","1557.432","4249.368","75.368",".018","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS07","SLS07","1号索塔","1545.812","1599.562","1680.987","1718.318","1636.048","1654.553","3661.703","95.703",".027","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS24","SLS24","3号索塔","1528.462","1583.563","1506.757","1478.520","1659.850","1600.709","6375.222","121.222",".019","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS04","SLS04","1号索塔","1697.383","1696.861","1696.503","1696.540","1695.053","1696.378","3109.614","60.614",".02","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS15","SLS15","2号索塔","1924.766","1575.116","1712.246","1611.679","1335.711","1683.081","4249.245","75.245",".018","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX04","SLX04","4号索塔","1643.292","1725.060","1625.037","1754.741","1815.469","1754.178","3147.915","98.915",".032","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS17","SLS17","3号索塔","1498.141","1481.526","1593.542","1662.388","1704.568","1538.718","6587.698","146.698",".023","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS16","SLS16","2号索塔","1670.636","1717.705","1749.569","1598.925","1643.649","1690.538","6834.388","134.388",".02","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX14","SLX14","5号索塔","1657.824","1651.697","1569.939","1571.847","1770.215","1454.319","3771.975","74.975",".02","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS14","SLS14","2号索塔","1328.652","1664.677","1548.143","1374.732","1841.214","1533.785","3800.903","103.903",".028","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX24","SLX24","6号索塔","1642.414","1593.831","1643.425","1625.608","1647.037","1586.427","6407.942","153.942",".025","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX11","SLX11","5号索塔","1619.333","1658.016","1747.570","1595.744","1666.114","1589.805","3840.692","94.692",".025","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS06","SLS06","1号索塔","1722.630","1762.878","1538.574","1708.802","1766.677","1715.176","3066.648","109.648",".037","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX03","SLX03","4号索塔","1816.553","1694.125","1585.698","1726.937","1636.352","1783.529","3249.257","104.257",".033","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX06","SLX06","4号索塔","1742.520","1623.057","1603.831","1744.017","1753.933","1743.973","3041.812","84.812",".029","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS05","SLS05","1号索塔","1703.025","1735.877","1780.378","1696.006","1715.018","1736.063","2949.679","106.679",".038","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS03","SLS03","1号索塔","1789.716","1749.411","1794.366","1681.376","1536.315","1689.298","3250.335","105.335",".033","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS08","SLS08","1号索塔","1667.400","1547.806","1529.157","1680.442","1478.454","1627.910","5888.671","131.671",".023","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS12","SLS12","2号索塔","1646.182","1640.358","1696.537","1654.631","1776.261","1685.469","3568.632","96.632",".028","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX05","SLX05","4号索塔","1843.989","1668.268","1662.378","1782.490","1930.069","1598.094","2950.947","107.947",".038","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1707.097","0.000","0.000","5912.634","155.634",".027","正常",""
"2022-09-04 16:52:17","2022-09-04","SLX09","SLX09","5号索塔","1603.712","1488.431","1650.255","1571.476","1700.997","1433.795","7078.33","148.33",".021","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS21","SLS21","3号索塔","1646.610","1591.082","1611.743","1683.943","1570.311","1659.425","3446.292","74.292",".022","正常",""
"2022-09-04 16:52:17","2022-09-04","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
