"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2023-04-19 06:03:58","2023-04-19","SLX08","SLX08","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18628.659","12871.659","2.236","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX09","SLX09","5号索塔","1609.775","1494.464","1653.472","1575.482","1705.736","1439.505","7007.239","77.239",".011","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX10","SLX10","5号索塔","1574.245","1645.695","1489.360","1549.445","1620.859","1556.941","4266.494","43.494",".01","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX11","SLX11","5号索塔","1624.162","1663.432","1751.745","1601.771","1670.904","1595.388","3786.061","40.061",".011","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX12","SLX12","5号索塔","1659.334","1582.771","1643.806","1780.537","1683.386","1624.827","3497.241","25.241",".007","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX13","SLX13","5号索塔","1807.004","1735.829","1696.935","1680.810","1734.707","1725.961","3491.131","42.131",".012","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX14","SLX14","5号索塔","1661.370","1655.998","1572.500","1569.246","1774.138","1457.609","3745.266","48.266",".013","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX15","SLX15","5号索塔","1604.894","1524.833","1562.807","1510.853","1611.284","1562.981","4211.267","37.267",".009","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX16","SLX16","5号索塔","1563.579","1513.398","1683.365","1668.300","1654.976","1653.546","6774.993","74.993",".011","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX17","SLX17","6号索塔","1614.985","1481.068","1646.216","1600.369","1747.518","2935.918","6522.36","81.36",".013","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX18","SLX18","6号索塔","0.000","0.000","0.000","1504.103","1396.915","0.000","3791.164","28.164",".007","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX19","SLX19","6号索塔","1650.214","1674.417","1666.773","1590.491","1615.328","1739.185","3355.01","28.01",".008","正常",""
"2023-04-19 06:03:58","2023-04-19","SLX20","SLX20","6号索塔","1617.145","1716.190","1758.215","1777.406","1566.979","1674.372","3318.67","20.67",".006","正常",""
