"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2023-02-22 20:59:48","2023-02-22","SLS15","SLS15","2号索塔","1924.019","1579.864","1717.536","1617.939","1336.834","1688.492","4215.064","41.064",".01","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX21","SLX21","6号索塔","1712.428","1739.875","1647.470","1589.660","1580.589","1603.232","3383.101","11.101",".003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX17","SLX17","6号索塔","1618.556","1485.911","1650.188","1604.207","1751.789","2941.932","6461.887","20.887",".003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS04","SLS04","1号索塔","1705.299","1705.749","1706.860","1706.019","1687.057","1705.976","3039.494","-9.506","-.003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX12","SLX12","5号索塔","1660.747","1584.494","1644.552","1782.526","1685.363","1626.088","3480.841","8.841",".003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX04","SLX04","4号索塔","1650.776","1733.895","1633.097","1763.780","1823.231","1762.359","3056.33","7.33",".002","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS02","SLS02","1号索塔","1744.258","1713.140","1716.311","1620.305","1737.742","1621.481","3571.171","44.171",".013","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX03","SLX03","4号索塔","1822.778","1700.854","1590.306","1735.576","1643.023","1790.197","3176.124","31.124",".01","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS22","SLS22","3号索塔","1543.504","1601.342","1613.930","1742.929","1628.146","1782.859","3417.944","11.944",".004","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX20","SLX20","6号索塔","1617.640","1718.393","1760.845","1779.142","1568.510","1676.297","3299.356","1.356","0","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS23","SLS23","3号索塔","1573.499","1659.436","1685.024","1461.190","1442.351","1713.777","3952.699","10.699",".003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS17","SLS17","3号索塔","1505.886","1489.426","1602.628","1672.825","1712.601","1549.059","6458.423","17.423",".003","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS24","SLS24","3号索塔","1537.356","1592.498","1514.483","1486.545","1669.611","1607.226","6256.281","2.281","0","正常",""
"2023-02-22 20:59:48","2023-02-22","SLS01","SLS01","1号索塔","1429.130","1611.864","1732.896","1530.955","1592.063","1736.310","5774.949","29.949",".005","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX11","SLX11","5号索塔","1624.810","1665.127","1754.060","1604.804","1671.838","1596.154","3769.259","23.259",".006","正常",""
"2023-02-22 20:59:48","2023-02-22","SLX09","SLX09","5号索塔","1611.716","1495.183","1657.023","1578.993","1709.274","1439.592","6974.031","44.031",".006","正常",""
