"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2023-03-01 18:59:48","2023-03-01","SLS11","SLS11","2号索塔","1712.746","1738.425","1535.222","1446.853","1703.927","1578.154","3803.237","57.237",".015","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS19","SLS19","3号索塔","1577.936","1649.887","1608.772","1614.493","1606.504","1670.140","3354.26","27.26",".008","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX24","SLX24","6号索塔","1649.549","1598.396","1648.387","1630.139","1652.855","1593.426","6323.705","69.705",".011","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS22","SLS22","3号索塔","1541.649","1598.118","1612.221","1741.657","1625.897","1780.137","3441.167","35.167",".01","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS02","SLS02","1号索塔","1741.671","1710.203","1714.377","1617.800","1735.005","1618.366","3596.583","69.583",".02","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX17","SLX17","6号索塔","1616.125","1482.295","1647.214","1601.070","1748.719","2937.236","6506.798","65.798",".01","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS10","SLS10","2号索塔","1568.570","1457.540","1411.116","1589.808","1557.840","1502.949","4275.947","52.947",".013","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX20","SLX20","6号索塔","1617.429","1716.751","1758.989","1777.891","1566.454","1675.134","3314.253","16.253",".005","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX02","SLX02","4号索塔","1572.456","1612.265","1656.605","1768.271","1737.961","1658.264","3584.983","57.983",".016","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS03","SLS03","1号索塔","1794.985","1754.813","1798.787","1686.721","1541.563","1696.407","3190.06","45.06",".014","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS24","SLS24","3号索塔","1534.106","1588.727","1510.813","1482.908","1665.631","1605.300","6304.518","50.518",".008","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS12","SLS12","2号索塔","1651.357","1647.109","1701.833","1661.055","1782.807","1690.933","3503.934","31.934",".009","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX21","SLX21","6号索塔","1711.435","1742.225","1648.163","1589.277","1580.643","1602.609","3380.924","8.924",".003","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS21","SLS21","3号索塔","1653.143","1596.754","1617.621","1690.441","1575.227","1665.671","3383.215","11.215",".003","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX05","SLX05","4号索塔","1848.463","1673.757","1667.000","1786.567","1935.508","1602.087","2897.844","54.844",".019","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS06","SLS06","1号索塔","1725.938","1769.226","1540.287","1713.979","1773.531","1721.454","3011.396","54.396",".018","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX13","SLX13","5号索塔","1807.433","1735.945","1697.351","1680.703","1735.265","1726.518","3487.435","38.435",".011","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX16","SLX16","5号索塔","1563.198","1511.573","1682.666","1667.804","1653.329","1653.033","6788.606","88.606",".013","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX07","SLX07","4号索塔","1653.941","1700.979","1584.908","1531.072","1560.104","1671.260","3620.236","54.236",".015","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX04","SLX04","4号索塔","1647.185","1731.146","1630.796","1761.712","1821.266","1759.519","3085.014","36.014",".012","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS01","SLS01","1号索塔","1425.835","1609.168","1730.565","1527.868","1588.964","1733.424","5815.249","70.249",".012","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX18","SLX18","6号索塔","0.000","0.000","0.000","1504.459","1396.250","0.000","3792.286","29.286",".008","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS18","SLS18","3号索塔","1568.549","1777.553","1510.482","1513.485","1749.937","1496.322","3801.182","38.182",".01","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX23","SLX23","6号索塔","1682.608","1672.936","1637.644","1556.194","1570.481","1589.737","3983.442","41.442",".011","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS04","SLS04","1号索塔","1705.303","1705.135","1705.047","1704.844","1687.411","1705.238","3046.811","-2.189","-.001","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS17","SLS17","3号索塔","1503.289","1488.381","1600.558","1667.948","1710.392","1546.554","6495.818","54.818",".009","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX09","SLX09","5号索塔","1608.990","1492.836","1653.916","1575.667","1705.543","1437.839","7015.464","85.464",".012","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS15","SLS15","2号索塔","1914.387","1577.158","1715.181","1614.839","1335.855","1686.259","4250.228","76.228",".018","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX15","SLX15","5号索塔","1604.451","1522.576","1561.898","1509.565","1610.534","1562.188","4220.756","46.756",".011","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS13","SLS13","2号索塔","1792.126","1758.129","1677.936","1577.971","1696.108","1630.726","3495.011","46.011",".013","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS14","SLS14","2号索塔","1332.968","1670.498","1552.716","1380.322","1846.976","1539.574","3747.305","50.305",".014","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX10","SLX10","5号索塔","1572.519","1643.910","1488.313","1548.136","1619.400","1555.279","4280.017","57.017",".014","正常",""
"2023-03-01 20:59:49","2023-03-01","SLS07","SLS07","1号索塔","1548.990","1603.867","1683.967","1722.532","1642.217","1658.650","3622.684","56.684",".016","正常",""
"2023-03-01 20:59:49","2023-03-01","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1712.706","0.000","0.000","5828.935","71.935",".012","正常",""
