"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2022-11-15 08:54:31","2022-11-15","SLX18","SLX18","6号索塔","0.000","0.000","0.000","1509.145","1402.518","0.000","3747.125","-15.875","-.004","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX03","SLX03","4号索塔","1823.201","1701.602","1591.594","1736.948","1644.451","1791.091","3164.894","19.894",".006","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1716.494","0.000","0.000","5772.254","15.254",".003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX21","SLX21","6号索塔","1713.311","1743.578","1650.325","1590.852","1582.479","1603.729","3363.24","-8.76","-.003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX14","SLX14","5号索塔","1665.286","1658.947","1576.630","1571.882","1777.290","1460.456","3710.856","13.856",".004","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX07","SLX07","4号索塔","1658.581","1704.508","1588.323","1536.080","1566.440","1675.050","3579.273","13.273",".004","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX01","SLX01","4号索塔","1563.765","0.000","0.000","0.000","0.000","0.000","5772.373","27.373",".005","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS24","SLS24","3号索塔","1537.961","1593.143","1515.014","1487.031","1669.840","1608.858","6246.394","-7.606","-.001","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX24","SLX24","6号索塔","1652.318","1606.289","1652.782","1633.828","1656.149","1597.297","6259.547","5.547",".001","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS14","SLS14","2号索塔","1338.726","1674.235","1556.927","1384.846","1849.442","1542.455","3708.81","11.81",".003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS07","SLS07","1号索塔","1554.030","1608.047","1687.633","1732.164","1646.066","1664.967","3571.096","5.096",".001","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX19","SLX19","6号索塔","1653.000","1678.014","1670.237","1594.548","1619.208","1742.581","3317.197","-9.803","-.003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS13","SLS13","2号索塔","1793.398","1760.303","1680.211","1581.393","1698.203","1633.648","3469.52","20.52",".006","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS10","SLS10","2号索塔","1572.265","1461.661","1415.828","1595.331","1563.151","1506.850","4236.415","13.415",".003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX15","SLX15","5号索塔","1608.394","1527.798","1565.419","1514.707","1614.884","1565.674","4182.615","8.615",".002","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS04","SLS04","1号索塔","1706.155","1706.417","1706.311","1706.132","1685.693","1706.542","3038.933","-10.067","-.003","正常",""
"2022-11-15 08:54:31","2022-11-15","SLS08","SLS08","1号索塔","1675.938","1556.427","1536.350","1688.597","1489.310","1637.216","5766.748","9.748",".002","正常",""
"2022-11-15 08:54:31","2022-11-15","SLX04","SLX04","4号索塔","1651.284","1733.817","1633.461","1764.513","1823.530","1762.707","3052.297","3.297",".001","正常",""
