"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2022-10-18 02:53:18","2022-10-18","SLS20","SLS20","3号索塔","1836.956","328.384","0.000","1553.338","311.777","311.743","9435.506","6137.506","1.861","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS21","SLS21","3号索塔","1651.626","1595.627","1616.448","1688.657","1574.217","1664.375","3397.221","25.221",".007","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX19","SLX19","6号索塔","1650.934","1674.898","1667.729","1591.160","1616.106","1739.573","3347.909","20.909",".006","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX13","SLX13","5号索塔","1807.272","1735.890","1697.327","1680.730","1735.304","1726.271","3488.232","39.232",".011","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX16","SLX16","5号索塔","1565.099","1515.165","1684.356","1669.442","1656.289","1654.664","6755.712","55.712",".008","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS12","SLS12","2号索塔","1652.944","1648.202","1702.277","1661.187","1783.036","1691.633","3496.415","24.415",".007","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1712.931","0.000","0.000","5825.572","68.572",".012","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS15","SLS15","2号索塔","1936.774","1580.192","1717.804","1617.703","1337.412","1688.999","4189.47","15.47",".004","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX07","SLX07","4号索塔","1654.585","1701.722","1586.286","1532.597","1561.270","1671.913","3610.945","44.945",".013","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX18","SLX18","6号索塔","0.000","0.000","0.000","1505.864","1398.231","0.000","3778.358","15.358",".004","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS16","SLS16","2号索塔","1674.999","1722.735","1753.804","1604.697","1650.914","1695.245","6754.186","54.186",".008","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX03","SLX03","4号索塔","1820.312","1698.880","1588.586","1732.378","1641.040","1788.147","3200.96","55.96",".018","正常",""
"2022-10-18 02:53:18","2022-10-18","SLX01","SLX01","4号索塔","1562.975","0.000","0.000","0.000","0.000","0.000","5783.142","38.142",".007","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS13","SLS13","2号索塔","1792.134","1758.649","1679.026","1580.046","1696.589","1632.218","3485.006","36.006",".01","正常",""
"2022-10-18 02:53:18","2022-10-18","SLS11","SLS11","2号索塔","1713.552","1738.885","1539.012","1451.468","1704.783","1579.691","3783.173","37.173",".01","正常",""
