"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2022-12-24 00:51:54","2022-12-24","SLS20","SLS20","3号索塔","1840.770","1806.803","1723.750","1556.246","1589.937","1731.929","3253.766","-44.234","-.013","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX22","SLX22","6号索塔","1689.247","1546.396","1688.205","1693.254","1758.596","1518.802","3366.611","-39.389","-.012","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS15","SLS15","2号索塔","1932.341","1582.454","1720.084","1619.518","1338.724","1690.418","4183.739","9.739",".002","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX02","SLX02","4号索塔","1578.263","1619.356","1662.773","1774.083","1744.261","1665.384","3524.173","-2.827","-.001","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS03","SLS03","1号索塔","1800.557","1760.386","1803.489","1691.492","1544.149","1699.860","3140.308","-4.692","-.001","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX15","SLX15","5号索塔","1609.782","1528.365","1566.374","1515.979","1616.589","1566.870","4171.995","-2.005","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS16","SLS16","2号索塔","1678.619","1726.000","1757.121","1605.675","1652.915","1698.450","6711.703","11.703",".002","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX04","SLX04","4号索塔","1653.420","1736.200","1634.922","1766.042","1825.807","1764.203","3031.275","-17.725","-.006","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX13","SLX13","5号索塔","1810.026","1737.884","1700.744","1682.732","1737.965","1730.618","3456.195","7.195",".002","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX06","SLX06","4号索塔","1746.463","1632.460","1612.727","1751.005","1762.012","1751.072","2960.468","3.468",".001","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX14","SLX14","5号索塔","1665.752","1660.138","1576.640","1572.937","1773.841","1460.267","3712.991","15.991",".004","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX24","SLX24","6号索塔","1655.565","1609.856","1656.260","1637.729","1659.693","1601.592","6204.728","-49.272","-.008","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX05","SLX05","4号索塔","1851.818","1676.797","1670.049","1789.777","1938.654","1605.955","2860.765","17.765",".006","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS13","SLS13","2号索塔","1793.873","1760.545","1680.127","1580.691","1698.396","1633.503","3469.393","20.393",".006","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS06","SLS06","1号索塔","1730.620","1772.931","1545.156","1717.670","1777.509","1724.894","2966.739","9.739",".003","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX03","SLX03","4号索塔","1824.942","1703.004","1593.263","1738.017","1648.169","1793.143","3143.479","-1.521","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS12","SLS12","2号索塔","1654.204","1651.520","1704.115","1664.183","1784.828","1694.161","3471.519","-.481","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX11","SLX11","5号索塔","1627.275","1667.246","1756.357","1607.348","1674.461","1597.995","3744.467","-1.533","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS22","SLS22","3号索塔","1544.438","1602.279","1612.260","1748.061","1627.061","1784.488","3406.769",".769","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLS05","SLS05","1号索塔","1709.847","1740.760","1789.191","1703.371","1726.011","1743.431","2863.511","20.511",".007","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX16","SLX16","5号索塔","1570.196","1517.653","1688.037","1673.170","1658.972","1658.802","6701.603","1.603","0","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX17","SLX17","6号索塔","1623.462","1490.607","1654.041","1607.766","1755.353","1453.135","6401.149","-39.851","-.006","正常",""
"2022-12-24 00:51:54","2022-12-24","SLX08","SLX08","4号索塔","0.000","0.000","0.000","1719.455","0.000","0.000","5727.86","-29.14","-.005","正常",""
